Registration No,Title,Subj,Instructor
10577,Introduction to Anthropology,ANTH,Brightman
20573,Sex and Gender,ANTH,Makley
10624,Field Biology of Amphibians,BIOL,Kaplan
10626,Bacterial Pathogenesis,BIOL,
20626,Seminar in Biology,BIOL,Yezerinac
10543,MolecularStructure and Properties,CHEM,Geselbracht
10544,MolecularStructure and Properties,CHEM,Geselbracht
10545,MolecularStructure and Properties,CHEM,Geselbracht
10546,MolecularStructure and Properties,CHEM,Geselbracht
10789,MolecularStructure and Properties,CHEM,Geselbracht
10547,MolecularStructure and Properties,CHEM,Geselbracht
10548,MolecularStructure and Properties,CHEM,Geselbracht
20575,Sex and Gender,ANTH,Makley
10549,MolecularStructure and Properties,CHEM,Geselbracht
10550,MolecularStructure and Properties,CHEM,Geselbracht
10551,MolecularStructure and Properties,CHEM,Geselbracht
10555,MolecularStructure and Properties,CHEM,Geselbracht
10552,MolecularStructure and Properties,CHEM,Geselbracht
10553,MolecularStructure and Properties,CHEM,Geselbracht
10557,MolecularStructure and Properties,CHEM,Geselbracht
10556,MolecularStructure and Properties,CHEM,Geselbracht
10554,MolecularStructure and Properties,CHEM,Geselbracht
10558,MolecularStructure and Properties,CHEM,Geselbracht
20483,Languages the Americas:Mayan,ANTH,Haviland
20537,Chemical Reactivity,CHEM,Glasfeld
20538,Chemical Reactivity,CHEM,Glasfeld
20539,Chemical Reactivity,CHEM,Glasfeld
20540,Chemical Reactivity,CHEM,Glasfeld
20541,Chemical Reactivity,CHEM,Glasfeld
20542,Chemical Reactivity,CHEM,Glasfeld
20543,Chemical Reactivity,CHEM,Glasfeld
20544,Chemical Reactivity,CHEM,Glasfeld
20545,Chemical Reactivity,CHEM,Glasfeld
20546,Chemical Reactivity,CHEM,Glasfeld
20667,Anthropology of Europe,ANTH,Silverstein
20547,Chemical Reactivity,CHEM,Glasfeld
10559,Organic Chemistry I,CHEM,Shusterman
10560,Organic Chemistry I,CHEM,Shusterman
10561,Organic Chemistry I,CHEM,Shusterman
10562,Organic Chemistry I,CHEM,Shusterman
10563,Organic Chemistry I,CHEM,Shusterman
10565,Organic Chemistry I,CHEM,Shusterman
10566,Organic Chemistry I,CHEM,Shusterman
10567,Organic Chemistry I,CHEM,Shusterman
20548,Organic Chemistry II,CHEM,McDougal
20571,Prob in IndonesianEthnography,ANTH,Stasch
20549,Organic Chemistry II,CHEM,McDougal
20550,Organic Chemistry II,CHEM,McDougal
20551,Organic Chemistry II,CHEM,McDougal
20552,Organic Chemistry II,CHEM,McDougal
20554,Organic Chemistry II,CHEM,McDougal
20555,Organic Chemistry II,CHEM,McDougal
20556,Organic Chemistry II,CHEM,McDougal
20557,Intro Inorganic Chemistry,CHEM,Geselbracht
20559,Intro Inorganic Chemistry,CHEM,Geselbracht
20560,Intro Inorganic Chemistry,CHEM,Geselbracht
10605,"Gender and Ethnicity China, Tibet",ANTH,Makley
10582,Environmental Chemistry,CHEM,Dunne
10568,Analytical Chemistry,CHEM,McClard
10569,Analytical Chemistry,CHEM,McClard
10570,Analytical Chemistry,CHEM,McClard
20561,Physical Chemistry Laboratory,CHEM,Ahmadi
20563,Computational Organic Chem,CHEM,Shusterman
20564,Statistical Thermodynamics,CHEM,Ahmadi
10571,Quantum Mechanics  and  MolStruct,CHEM,Ahmadi
20565,Advanced Inorganic Chemistry,CHEM,Geselbracht
10572,Adv Synth Organic Chemistry,CHEM,McDougal
20570,Myth,ANTH,Stasch
10574,Structural Biochemistry,CHEM,Glasfeld
10576,Structural Biochemistry,CHEM,Glasfeld
10575,Structural Biochemistry,CHEM,Glasfeld
20566,Metabolic Biochemistry,CHEM,McClard
20567,Biochemical Methods,CHEM,McClard
20568,Biochemical Methods,CHEM,McClard
20569,Biochemical Methods,CHEM,McClard
10377,First Year Chinese,CHIN,
10118,Second Year Chinese,CHIN,
20598,Third Year Chinese,CHIN,Wu
20572,Media  and  Culture Post-MaoChina,ANTH,Makley
10629,Classical Chinese,CHIN,Rhew
10628,"20 Cent Chin Fiction, 1919-49",CHIN,Wu
10630,Chinese Narrative Tradition,CHIN,Rhew
20596,Yijing: Text and Tradition,CHIN,Rhew
20601,20th Century Chinese Poetry,CHIN,Wu
20486,Greek Tragedy,CLAS,Englert
10489,Ancient History: Rome,CLAS,Kelly
20488,Specl Topics in Roman History,CLAS,Kelly
20503,Intro to Creative Writing,CRWR,Hillis
10515,Intro Poetry Writing,CRWR,Williams
20659,Indians  and  Northrn NativeAmers,ANTH,Brightman
20504,Intro Poetry Writing,CRWR,Williams
10516,Intro to Fiction Writing,CRWR,Hillis
20642,Intermediate Poetry: StudioII,CRWR,Williams
10517,Intro to ScreenwritingWrkshop,CRWR,Hillis
10518,Adv Poet Writng: SequentVoice,CRWR,Williams
20506,Adv Poet Writing:NaturalVoice,CRWR,Williams
10519,Advanced Fiction Writing,CRWR,Hillis
20507,Advanced Fiction Writing,CRWR,Hillis
10119,Basic Technique,DANC,Mann
10121,"Technique, Design  and Compostion",DANC,Wong
20672,Urban Anthropology,ANTH,Silverstein
20627,Improvisation,DANC,Mann
10639,Adv Techniques  and  CompositionI,DANC,Mann
20655,Adv Technique  and  CompositionII,DANC,Wong
10631,Dance Theory and Criticism,DANC,Wong
10324,Intro to Economic Analysis,ECON,Clausing
10325,Intro to Economic Analysis,ECON,Clausing
10326,Intro to Economic Analysis,ECON,Clausing
10327,Intro to Economic Analysis,ECON,Clausing
20319,Intro to Economic Analysis,ECON,Netusil
20320,Intro to Economic Analysis,ECON,Netusil
10578,Introduction to Anthropology,ANTH,Makley
10583,"Nature, Cult  and Envirnmentalism",ANTH,Brightman
20321,Intro to Economic Analysis,ECON,Netusil
20322,Intro to Economic Analysis,ECON,Netusil
10584,Survey of Econometric Methods,ECON,Netusil
20574,Theory and  Practice Econometrics,ECON,Parker
10585,Microeconomic Theory,ECON,Despins
20576,Macroeconomic Theory,ECON,Parker
20580,History of Economic Thought,ECON,Clausing
10587,Monetary and Fiscal Policy,ECON,Parker
10589,International Macroeconomics,ECON,Clausing
20585,Economics of the PublicSector,ECON,Netusil
10586,Structuralism and Semiotics,ANTH,Stasch
10590,Environment  and  Nat Resrce Econ,ECON,Netusil
10591,Economics of Development,ECON,Despins
20582,International Trade,ECON,Clausing
10592,Seminar: Unemployment,ECON,Parker
20602,Economics  and  Game Theory,ECON,Despins
20592,"Econ Envirn, Intl Trade,Devel",ECON,Despins
10597,Economic Growth,ECON,Parker
10503,Intro Narr:Native AmericanLit,ENG,Arnold
10774,Intro Narr: Telling Lives,ENG,Leveen
20508,Intro Narrative: The Essay,ENG,Duquette
10593,Structuralism and Semiotics,ANTH,Stasch
10504,Intro Fict:Colonl and LaterNovels,ENG,Gillcrist
10505,Intro Fict:Portraits ofLadies,ENG,King
20509,Intro Fict: The Short Story,ENG,Baker
10506,Intro to Poetry and Poetics,ENG,Steinman
10507,Intro to Poetry and Poetics,ENG,Steinman
20510,Intro to Poetry and Poetics,ENG,Stauder
10758,Intro to Drama: The 1990s,ENG,Savery
20511,Intro Drama:Conventn  and Inovatn,ENG,Porter
20512,Intro Drama:Conventn  and Inovatn,ENG,Porter
10508,Jun Sem: Epic and Novel,ENG,Sherman
20660,Theories of Culture,ANTH,Brightman
20513,"Jun Sem:Irony, Allegory, Epic",ENG,Knapp
20647,Amer. Studies Seminar: TheEnd,ENG,Arnold
20514,"Fict:Wolff,Forster,Bloomsbury",ENG,Gillcrist
20515,Fict: Novel  and  Theory Mimesis,ENG,King
20516,Mod Fict:Representing Mothers,ENG,Sherman
10509,American Lit: Race in America,ENG,Baker
10510,Amer Lit: The James Brothers,ENG,Duquette
20677,American Lit: Speaking ofRace,ENG,Leveen
10511,20th Cent African-Amercan Lit,ENG,Savery
10512,Love in Shakespeare,ENG,Porter
10458,Introductory Drawing,ART,Knutson
20517,Skepticism in Shakespeare,ENG,Knapp
10752,Poetry: Pound and H.D.,ENG,Stauder
20518,Poetry  and  History:Contemp Amer,ENG,Steinman
10514,Literary Theory:EthicsReading,ENG,Knapp
10136,First Year French,FREN,
10137,First Year French,FREN,
10138,First Year French,FREN,
10139,Second Year French,FREN,Delehanty
10140,Second Year French,FREN,Berkvam
10141,Second Year French,FREN,Berkvam
10459,Introductory Drawing,ART,Ondrizek
10142,Stylistics and Composition,FREN,Khan
10495,Lit  and  Society (16th Century),FREN,Berkvam
20493,Lit  and  Society (18th Century),FREN,Berkvam
20494,Early Modern French Narrative,FREN,Khan
20495,17th Cent French Drama,FREN,Delehanty
20496,20th C French Poetry  and Poetics,FREN,Hochman
10496,20th Century French Theatre,FREN,Khan
10497,Seminar:Uses of Literature,FREN,Hochman
10143,Frst Yr German:A Foundation,GER,
10397,Frst Yr German:A Foundation,GER,
20465,Figure Drawing,ART,Ondrizek
10145,Secnd Yr Ger:CultralPerspctvs,GER,Gokberk
10498,Adv Conversation and Writing,GER,Mieszkowski
20499,Advancd Conversation and Writing,GER,Irmscher
20497,Modernism: Berlin,GER,Gokberk
20502,Contemporary German Prose,GER,Gokberk
10501,Modern German Theatre,GER,Rudolf
10499,German Thought Postmodrn Era,GER,Irmscher
20500,German Theory II: Body Media,GER,Mieszkowski
10146,First Year Greek,GRK,
10147,Second Year Greek,GRK,Wolfe
20466,Printmaking,ART,Knutson
10487,Advanced Greek,GRK,Tron
20485,Advanced Greek,GRK,Nicholson
20628,Late Imperial China,HIST,Fix
10643,Modern China,HIST,Fix
10644,Cultr  and  Society 19 CentAmerca,HIST,Dirks
20629,Culture and Society 20 Cent Amer,HIST,Dirks
10784,Introduction to Judaism,HIST,McCalla
10645,Spcl Tops: Vietnam War,HIST,Segel
10646,Spcl Tops: Vietnam War,HIST,Segel
10647,Subaltern Stds Historiography,HIST,Fix
10453,Introduction to Art History,ART,Diebold
20630,The Family in China and Japan,HIST,Fix
10648,Devel of Britain 1700-1830,HIST,Sacks
20631,The Third Reich,HIST,Mueller
20632,The Third Reich,HIST,Mueller
20633,The Russian Revolution,HIST,Smith
20634,The Russian Revolution,HIST,Smith
10649,"Weimar:State,Society  and Culture",HIST,Mueller
10653,Old Regime France 1600-1750,HIST,Breen
20640,The French Enlightenment,HIST,Breen
20641,Civil War and Reconstruction,HIST,Iaccarino
20461,Introduction to Art History,ART,Diebold
20635,Gender and History,HIST,Dirks
20636,Gender and History,HIST,Dirks
10650,American Slavery,HIST,Iaccarino
20637,Mexico: Indepdence toRevolutn,HIST,Garrett
20638,Mexico: Indepdence toRevolutn,HIST,Garrett
10651,Mexico  and  the Spanish Conquest,HIST,Garrett
10800,Mexico  and  the Spanish Conquest,HIST,Garrett
10490,Ancient History: Rome,HIST,Kelly
20489,Specl Topics in Roman History,HIST,Kelly
10652,Jun Sem: Depression Era U.S.,HIST,Dirks
10579,Introduction to Anthropology,ANTH,Stasch
20462,Introduction to Art History,ART,Diebold
20639,"Sem: Comty, Auth, Cult15-1700",HIST,Sacks
10072,West Humanities: Greece  and Rome,HUM,King
10148,West Humanities: Greece  and Rome,HUM,Arnold
10149,West Humanities: Greece  and Rome,HUM,Drumm
10150,West Humanities: Greece  and Rome,HUM,Englert
10151,West Humanities: Greece  and Rome,HUM,Sherman
10152,West Humanities: Greece  and Rome,HUM,Leveen
10153,West Humanities: Greece  and Rome,HUM,Arkonovich
10154,West Humanities: Greece  and Rome,HUM,Gillcrist
10155,West Humanities: Greece  and Rome,HUM,Breen
10460,Introductory Painting,ART,Knutson
10156,West Humanities: Greece  and Rome,HUM,Baker
10157,West Humanities: Greece  and Rome,HUM,Duquette
10158,West Humanities: Greece  and Rome,HUM,Nicholson
10159,West Humanities: Greece  and Rome,HUM,Stauder
10160,West Humanities: Greece  and Rome,HUM,Feener
10161,West Humanities: Greece  and Rome,HUM,Delehanty
10749,West Humanities: Greece  and Rome,HUM,Foat
10162,West Humanities: Greece  and Rome,HUM,Mandell
10163,West Humanities: Greece  and Rome,HUM,King
10164,West Humanities: Greece  and Rome,HUM,David
20467,Introductory Painting II,ART,Knutson
10165,West Humanities: Greece  and Rome,HUM,Latham
10775,West Humanities: Greece  and Rome,HUM,Wolfe
10166,West Humanities: Greece  and Rome,HUM,Mieszkowski
10168,West Humanities: Greece  and Rome,HUM,Kelly
10169,West Humanities: Greece  and Rome,HUM,Hendrickson
10318,West Humanities: Greece  and Rome,HUM,Sacks
10323,West Humanities: Greece  and Rome,HUM,Iaccarino
10073,Early Modern Europe,HUM,Knapp
10175,Early Modern Europe,HUM,Knapp
10176,Early Modern Europe,HUM,Steinman
10461,Sculpture,ART,Ondrizek
10177,Early Modern Europe,HUM,Kierstead
10178,Early Modern Europe,HUM,Garrett
10074,Modern Humanities,HUM,Mueller
10170,Modern Humanities,HUM,van Dyke
10171,Modern Humanities,HUM,Mueller
10172,Modern Humanities,HUM,Porter
10173,Modern Humanities,HUM,Segel
10174,Modern Humanities,HUM,Gokberk
10314,Foundatns ChineseCivilization,HUM,Brashier
10315,Foundatns ChineseCivilization,HUM,Wu
20468,Sculpture II,ART,Ondrizek
10316,Foundatns ChineseCivilization,HUM,Brashier
10317,Foundatns ChineseCivilization,HUM,Fix
10179,First Year Latin,LAT,
10180,Second Year Latin,LAT,Wolfe
10486,Advanced Latin,LAT,Englert
20484,Advanced Latin,LAT,Tron
10481,General Linguistics,LING,Haviland
10484,Language and Society,LING,Haviland
10483,Introductory Syntax,LING,Haviland
20481,Morphosyntactic Typology,LING,Haviland
10454,Early Medieval Art,ART,Diebold
20482,Languages the Americas:Mayan,LING,Haviland
10588,Structuralism and Semiotics,LING,Stasch
10598,Structuralism and Semiotics,LING,Stasch
10747,Psycholinguistics,LING,Canseco-Gonzale
10747,Psycholinguistics,LING,Canseco-Gonzale
20652,Psych of Language Acquisition,LING,Canseco-Gonzale
10538,Russian Short Fiction,LIT,Lencek
10757,"20-Cent Chin Fiction, 1919-49",LIT,Wu
20498,Modernism: Berlin,LIT,Gokberk
10756,Chinese Narrative Tradition,LIT,Rhew
20682,Medieval Manuscript Illumin,ART,Diebold
20657,Yijing: Text and Tradition,LIT,Rhew
10502,Modern German Theatre,LIT,Rudolf
20665,20-Century Chinese Poetry,LIT,Wu
20487,Greek Tragedy,LIT,Englert
20531,Russian Lit:Chekhov toPresent,LIT,Bershtein
10540,The Myth of St. Petersburg,LIT,Bershtein
10500,German Thought Postmod Era,LIT,Irmscher
20501,German Theory II: Body Media,LIT,Mieszkowski
20536,Russian Lit:Gogol  and Dostoevsky,LIT,Lencek
20533,Russ Decadent/SymbolistCultur,LIT,Bershtein
10455,Divine Comedy  and Visualizations,ART,David
10542,20th C Russian CriticalTheory,LIT,Lencek
10430,Calculus I,MATH,Mayer
10431,Calculus I,MATH,Shurman
10432,Calculus I,MATH,Mayer
10433,Calculus I,MATH,Potluri
10434,Calculus I,MATH,Shurman
10435,Calculus I,MATH,Potluri
20442,Calculus I,MATH,Potluri
20443,Calculus I,MATH,Potluri
20444,Calculus II,MATH,Mayer
20680,Art and Politics in France,ART,Hendrickson
20445,Calculus II,MATH,Perkinson
20446,Calculus II,MATH,Jones
20447,Calculus II,MATH,Wieting
20448,Calculus II,MATH,Perkinson
20449,Calculus II,MATH,Bernhard
10436,Introduction to Computing,MATH,Fix
10436,Introduction to Computing,MATH,Fix
10437,Introduction to Computing,MATH,Fix
10437,Introduction to Computing,MATH,Fix
20450,Introduction to Combinatorics,MATH,Shurman
20681,Pol Hist of Art Between Wars,ART,van Dyke
10438,Intro to Probability  and Statist,MATH,Jones
10439,Intro to Probability  and Statist,MATH,Jones
10440,Intro to Probability  and Statist,MATH,Jones
10441,Intro to Probability  and Statist,MATH,Jones
10442,Intro to Probability  and Statist,MATH,Jones
10443,Introduction to Analysis I,MATH,Perkinson
10444,Introduction to Analysis I,MATH,Wieting
